code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma
HK.00456,65.0,39,0,0,0.65
HK.00458,70.0,84,0,0,0.4
HK.00460,9.0,11,1,26,1.0
HK.00464,25.0,28,1,1,0.7
HK.00465,98.0,75,0,0,0.0
HK.00467,54.0,83,0,0,0.0
HK.00468,62.0,58,0,0,0.15
HK.00470,,17,1,5,0.9
HK.00471,1.0,60,0,0,0.45
HK.00472,25.0,20,1,10,0.6
HK.00474,89.0,79,1,5,0.25
HK.00475,5.0,3,1,5,0.6
HK.00476,74.0,93,0,0,0.0
HK.00480,60.0,52,0,0,0.55
HK.00482,16.0,12,0,0,0.95
HK.00483,23.0,26,1,2,0.6
HK.00484,27.0,12,1,17,0.9
HK.00485,36.0,13,1,15,0.8
HK.00486,26.0,41,0,0,0.65
HK.00487,22.0,52,1,3,0.7
HK.00488,65.0,41,1,3,0.6
HK.00491,68.0,89,0,0,0.2
HK.00493,27.0,58,0,0,0.15
HK.00496,6.0,35,1,2,0.15
HK.00497,24.0,12,1,63,1.0
HK.00498,15.0,58,0,0,0.15
HK.00499,91.0,80,0,0,0.1
HK.00500,61.0,78,0,0,0.3
HK.00505,76.0,85,0,0,0.0
HK.00506,60.0,69,0,0,0.15
HK.00508,24.0,32,0,0,0.7
HK.00509,62.0,58,0,0,0.15
HK.00510,19.0,5,1,43,1.0
HK.00511,25.0,25,1,7,0.9
HK.00512,25.0,32,1,4,0.8
HK.00513,87.0,95,0,0,0.0
HK.00515,53.0,58,0,0,0.15
HK.00517,81.0,87,0,0,0.0
HK.00518,26.0,19,0,0,0.8
HK.00519,29.0,28,1,16,0.85
HK.00520,4.0,14,1,20,1.0
HK.00521,24.0,54,0,0,0.35
HK.00522,90.0,62,0,0,0.4
HK.00524,98.0,29,1,3,0.45
HK.00525,75.0,64,0,0,0.2
HK.00526,45.0,8,1,14,0.7
HK.00527,83.0,87,0,0,0.05
HK.00528,72.0,61,1,4,0.35
HK.00529,50.0,45,0,0,0.6
HK.00532,49.0,42,1,1,0.55
HK.00533,46.0,38,1,2,0.65
HK.00535,19.0,62,0,0,0.3
HK.00536,77.0,64,0,0,0.1
HK.00538,59.0,51,0,0,0.3
HK.00540,66.0,34,1,4,0.25
HK.00542,79.0,95,0,0,0.0
HK.00543,32.0,24,1,15,0.85
HK.00544,6.0,47,0,0,0.65
HK.00546,13.0,17,1,20,1.0
HK.00547,23.0,38,0,0,0.95
HK.00548,50.0,37,1,6,0.5
HK.00550,95.0,1,1,45,1.0
HK.00551,53.0,41,1,8,0.8
HK.00552,63.0,68,0,0,0.3
HK.00553,18.0,26,1,18,0.95
HK.00554,40.0,52,0,0,0.3
HK.00556,36.0,4,1,6,0.95
HK.00557,26.0,24,1,59,1.0
HK.00558,4.0,12,1,28,1.0
HK.00559,68.0,58,0,0,0.15
HK.00560,35.0,43,0,0,0.35
HK.00563,34.0,55,0,0,0.35
HK.00564,17.0,10,1,34,1.0
HK.00565,96.0,97,0,0,0.0
HK.00567,93.0,65,1,4,0.3
HK.00568,43.0,15,1,9,0.7
HK.00570,15.0,16,1,50,1.0
HK.00571,44.0,31,1,4,0.3
HK.00572,46.0,54,0,0,0.6
HK.00573,46.0,71,0,0,0.05
HK.00574,6.0,42,0,0,0.4
HK.00575,44.0,23,1,3,0.85
HK.00576,45.0,27,1,20,1.0
HK.00579,27.0,21,1,59,1.0
HK.00580,5.0,7,1,28,1.0
HK.00581,39.0,28,1,12,0.85
HK.00582,29.0,31,1,16,0.85
HK.00583,30.0,23,1,6,0.95
HK.00585,97.0,11,1,5,0.9
HK.00586,16.0,8,1,58,1.0
HK.00587,5.0,20,1,6,0.5
HK.00588,43.0,44,0,0,0.45
HK.00590,47.0,29,1,20,1.0
HK.00591,42.0,41,1,5,0.35
HK.00595,95.0,76,1,6,0.5
HK.00596,3.0,6,1,28,1.0
HK.00598,70.0,64,1,1,0.15
HK.00599,32.0,45,0,0,0.6
HK.00600,,96,0,0,0.05
HK.00601,34.0,12,1,1,0.15
HK.00602,60.0,70,0,0,0.3
HK.00603,27.0,51,0,0,0.3
