code,rs_percentile_12m,rs_percentile_3m
HK.01117,86.0,90
HK.01118,78.0,75
HK.01119,38.0,93
HK.01120,15.0,16
HK.01121,2.0,22
HK.01122,8.0,4
HK.01123,81.0,89
HK.01124,6.0,46
HK.01125,20.0,31
HK.01126,28.0,42
HK.01127,60.0,61
HK.01128,59.0,49
HK.01129,15.0,57
HK.01130,36.0,10
HK.01132,84.0,76
HK.01133,62.0,26
HK.01134,53.0,21
HK.01137,30.0,41
HK.01138,92.0,93
HK.01141,3.0,0
HK.01142,6.0,36
HK.01145,58.0,38
HK.01146,87.0,66
HK.01147,23.0,10
HK.01148,38.0,27
HK.01150,7.0,37
HK.01152,12.0,9
HK.01153,34.0,13
HK.01156,90.0,77
HK.01157,26.0,9
HK.01159,59.0,26
HK.01161,86.0,40
HK.01162,85.0,88
HK.01163,51.0,26
HK.01164,14.0,11
HK.01165,65.0,57
HK.01166,71.0,97
HK.01167,49.0,86
HK.01168,85.0,89
HK.01170,38.0,48
HK.01171,77.0,69
HK.01172,72.0,93
HK.01173,67.0,73
HK.01176,18.0,78
HK.01177,59.0,86
HK.01179,62.0,44
HK.01180,90.0,67
HK.01181,12.0,54
HK.01182,69.0,73
HK.01183,28.0,18
HK.01184,93.0,86
HK.01186,47.0,45
HK.01187,,65
HK.01188,65.0,57
HK.01193,50.0,77
HK.01195,63.0,96
HK.01196,72.0,96
HK.01198,27.0,51
HK.01199,78.0,88
HK.01200,21.0,7
HK.01201,89.0,19
HK.01202,84.0,47
HK.01203,41.0,50
HK.01204,79.0,86
HK.01205,73.0,55
HK.01206,11.0,28
HK.01208,78.0,66
HK.01209,59.0,50
HK.01211,41.0,25
HK.01213,78.0,60
HK.01215,29.0,79
HK.01216,47.0,52
HK.01218,38.0,70
HK.01220,65.0,57
HK.01221,57.0,49
HK.01222,59.0,43
HK.01223,49.0,37
HK.01224,57.0,45
HK.01225,76.0,61
HK.01228,41.0,35
HK.01229,32.0,66
HK.01231,78.0,73
HK.01232,77.0,92
HK.01233,36.0,96
HK.01234,46.0,29
HK.01235,79.0,64
HK.01236,,3
HK.01237,67.0,78
HK.01238,13.0,12
HK.01239,30.0,14
HK.01240,58.0,62
HK.01241,73.0,94
HK.01243,42.0,41
HK.01244,8.0,82
HK.01245,90.0,93
